Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,Planarity,SA Score
28,COc1cc2c:C(c3c(OC(C)=O)ccc4nsnc34):[nH]c2cc1OC,-4.882895,-2.501781,2.381114,0.9907793752906924,2.691665456199628
29,COc1cc2c:C(c3c(NC(C)=O)ccc4nsnc34):[nH]c2cc1OC,-5.130549,-2.500508,2.630041,0.91147814085302,2.650506828341
30,CNc1ccc2nsnc2c1C1:cc2cc(OC)c(OC)cc2[nH]:1,-4.815264,-2.240218,2.575046,0.9254900117274748,2.718845513020119
31,COc1cc2c:C(c3c(OC)ccc4nsnc34):[nH]c2cc1OC,-4.757514,-2.421922,2.335593,0.9918887733864684,2.579292335762593
32,COc1cc2c:C(c3c(C=O)ccc4nsnc34):[nH]c2cc1OC,-5.440697,-2.917105,2.523592,0.907413193501686,2.7680876534883456
33,COc1cc2c:C(c3c(S(=O)(=O)O)ccc4nsnc34):[nH]c2cc1OC,-5.687798,-3.144649,2.543149,0.895110019992539,2.7663742734468
34,COc1cc2c:C(c3c(C(F)(F)F)ccc4nsnc34):[nH]c2cc1OC,-5.056306,-2.762976,2.29333,0.9404008487572432,2.7517940837734614
35,COc1cc2c:C(c3c(F)ccc4nsnc34):[nH]c2cc1OC,-5.085725,-2.631958,2.453767,0.9997862655956036,2.622697814931876
36,COc1cc2c:C(c3c(O)ccc4nsnc34):[nH]c2cc1OC,-4.920357,-2.377758,2.542599,0.9285581175716232,2.6511432694773305
37,COc1cc2c:C(c3c(S)ccc4nsnc34):[nH]c2cc1OC,-4.940157,-2.506353,2.433804,0.915144588368829,2.850446066680128
38,COc1cc2c:C(c3c(Br)ccc4nsnc34):[nH]c2cc1OC,-5.199376,-2.714197,2.485179,0.9615667388178952,2.68855305968712
39,COc1cc2c:C(c3cccc4nsnc34):[nH]c2cc1OC,-4.838377,-2.465819,2.372558,0.9999999998672658,2.469794991802141
40,COc1cc2c:C(c3c(C)ccc4nsnc34):[nH]c2cc1OC,-4.990457,-2.457858,2.532599,0.9786568364904596,2.6009677450018067
41,COc1cc2c:C(c3c(C#N)ccc4nsnc34):[nH]c2cc1OC,-5.322912,-3.010339,2.312573,0.9999866794788916,2.7517511986388463
42,COc1cc2c:C(c3cc(OC(C)=O)cc4nsnc34):[nH]c2cc1OC,-5.102683,-2.57332,2.529364,0.9991225938628712,2.74775734809152
43,COc1cc2c:C(c3cc(NC(C)=O)cc4nsnc34):[nH]c2cc1OC,-4.777277,-2.403287,2.37399,0.9999999998678192,2.672280840815011
44,CNc1cc(C2:cc3cc(OC)c(OC)cc3[nH]:2)c2nsnc2c1,-4.755088,-2.104379,2.650709,0.99998864797862,2.773497686933164
45,COc1cc(C2:cc3cc(OC)c(OC)cc3[nH]:2)c2nsnc2c1,-4.816495,-2.273732,2.542763,0.9999999940229576,2.63477126552848
