Name,SMILES,Donor,Acceptor,D_A EG /eV,A_D EG /eV
0,COc1cc2c:C(c3cc(OC(C)=O)cs3):[nH]c2cc1OC,c1cc(OC(C)=O)cs1,c1cc2cc(OC)c(OC)cc2[nH]1,6.452716,4.407624
1,COc1cc2c:C(c3cc(NC(C)=O)cs3):[nH]c2cc1OC,c1cc(NC(C)=O)cs1,c1cc2cc(OC)c(OC)cc2[nH]1,6.04939,4.509269
2,CNc1csc(C2:cc3cc(OC)c(OC)cc3[nH]:2)c1,c1cc2cc(OC)c(OC)cc2[nH]1,c1cc(NC)cs1,4.925645,5.339527
3,COc1csc(C2:cc3cc(OC)c(OC)cc3[nH]:2)c1,c1cc2cc(OC)c(OC)cc2[nH]1,c1cc(OC)cs1,4.721844,5.868828
4,COc1cc2c:C(c3cc(C=O)cs3):[nH]c2cc1OC,c1cc(C=O)cs1,c1cc2cc(OC)c(OC)cc2[nH]1,7.186619,3.298856
5,COc1cc2c:C(c3cc(S(=O)(=O)O)cs3):[nH]c2cc1OC,c1cc(S(=O)(=O)O)cs1,c1cc2cc(OC)c(OC)cc2[nH]1,7.513763,3.5993630000000003
6,COc1cc2c:C(c3cc(C(F)(F)F)cs3):[nH]c2cc1OC,c1cc(C(F)(F)F)cs1,c1cc2cc(OC)c(OC)cc2[nH]1,7.189724,4.057087
7,COc1cc2c:C(c3cc(F)cs3):[nH]c2cc1OC,c1cc(F)cs1,c1cc2cc(OC)c(OC)cc2[nH]1,6.660998,4.429705
8,COc1cc2c:C(c3cc(O)cs3):[nH]c2cc1OC,c1cc(O)cs1,c1cc2cc(OC)c(OC)cc2[nH]1,5.997648,4.707997000000001
9,COc1cc2c:C(c3cc(S)cs3):[nH]c2cc1OC,c1cc(S)cs1,c1cc2cc(OC)c(OC)cc2[nH]1,6.105379,4.485922
10,COc1cc2c:C(c3cc(Br)cs3):[nH]c2cc1OC,c1cc(Br)cs1,c1cc2cc(OC)c(OC)cc2[nH]1,6.75057,4.2249490000000005
11,COc1cc2c:C(c3cccs3):[nH]c2cc1OC,c1cccs1,c1cc2cc(OC)c(OC)cc2[nH]1,6.560001,4.665943
12,COc1cc2c:C(c3cc(C)cs3):[nH]c2cc1OC,c1cc(C)cs1,c1cc2cc(OC)c(OC)cc2[nH]1,6.396562,4.802927
13,COc1cc2c:C(c3cc(C#N)cs3):[nH]c2cc1OC,c1cc(C#N)cs1,c1cc2cc(OC)c(OC)cc2[nH]1,7.319309,3.499915
14,COc1cc2c:C(c3sccc3OC(C)=O):[nH]c2cc1OC,c1sccc1OC(C)=O,c1cc2cc(OC)c(OC)cc2[nH]1,6.452716,4.407624
15,COc1cc2c:C(c3sccc3NC(C)=O):[nH]c2cc1OC,c1sccc1NC(C)=O,c1cc2cc(OC)c(OC)cc2[nH]1,6.04939,4.509269
16,CNc1ccsc1C1:cc2cc(OC)c(OC)cc2[nH]:1,c1cc2cc(OC)c(OC)cc2[nH]1,c1sccc1NC,4.925645,5.339527
17,COc1cc2c:C(c3sccc3OC):[nH]c2cc1OC,c1sccc1OC,c1cc2cc(OC)c(OC)cc2[nH]1,5.868828,4.721844
18,COc1cc2c:C(c3sccc3C=O):[nH]c2cc1OC,c1sccc1C=O,c1cc2cc(OC)c(OC)cc2[nH]1,7.186619,3.298856
19,COc1cc2c:C(c3sccc3S(=O)(=O)O):[nH]c2cc1OC,c1sccc1S(=O)(=O)O,c1cc2cc(OC)c(OC)cc2[nH]1,7.513763,3.5993630000000003
20,COc1cc2c:C(c3sccc3C(F)(F)F):[nH]c2cc1OC,c1sccc1C(F)(F)F,c1cc2cc(OC)c(OC)cc2[nH]1,7.189724,4.057087
21,COc1cc2c:C(c3sccc3F):[nH]c2cc1OC,c1sccc1F,c1cc2cc(OC)c(OC)cc2[nH]1,6.660998,4.429705
22,COc1cc2c:C(c3sccc3O):[nH]c2cc1OC,c1sccc1O,c1cc2cc(OC)c(OC)cc2[nH]1,5.997648,4.707997000000001
23,COc1cc2c:C(c3sccc3S):[nH]c2cc1OC,c1sccc1S,c1cc2cc(OC)c(OC)cc2[nH]1,6.105379,4.485922
24,COc1cc2c:C(c3sccc3Br):[nH]c2cc1OC,c1sccc1Br,c1cc2cc(OC)c(OC)cc2[nH]1,6.75057,4.2249490000000005
25,COc1cc2c:C(c3sccc3C):[nH]c2cc1OC,c1sccc1C,c1cc2cc(OC)c(OC)cc2[nH]1,6.396562,4.802927
26,COc1cc2c:C(c3sccc3C#N):[nH]c2cc1OC,c1sccc1C#N,c1cc2cc(OC)c(OC)cc2[nH]1,7.319309,3.499915
27,COc1cc2c:C(c3scc4c3OCCO4):[nH]c2cc1OC,c1scc2c1OCCO2,c1cc2cc(OC)c(OC)cc2[nH]1,6.029956,4.829017
28,COc1cc2c:C(c3c(OC(C)=O)ccc4nsnc34):[nH]c2cc1OC,c1c(OC(C)=O)ccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.848457,2.472815
29,COc1cc2c:C(c3c(NC(C)=O)ccc4nsnc34):[nH]c2cc1OC,c1c(NC(C)=O)ccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.417319,2.5803000000000003
30,CNc1ccc2nsnc2c1C1:cc2cc(OC)c(OC)cc2[nH]:1,c1cc2cc(OC)c(OC)cc2[nH]1,c1c(NC)ccc2nsnc12,2.969412,5.780695
31,COc1cc2c:C(c3c(OC)ccc4nsnc34):[nH]c2cc1OC,c1c(OC)ccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.428345,2.754877
32,COc1cc2c:C(c3c(C=O)ccc4nsnc34):[nH]c2cc1OC,c1c(C=O)ccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.298686,1.948799
33,COc1cc2c:C(c3c(S(=O)(=O)O)ccc4nsnc34):[nH]c2cc1OC,c1c(S(=O)(=O)O)ccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.542495,1.862496
34,COc1cc2c:C(c3c(C(F)(F)F)ccc4nsnc34):[nH]c2cc1OC,c1c(C(F)(F)F)ccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.314575,2.117716
35,COc1cc2c:C(c3c(F)ccc4nsnc34):[nH]c2cc1OC,c1c(F)ccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.959871,2.3800950000000003
36,COc1cc2c:C(c3c(O)ccc4nsnc34):[nH]c2cc1OC,c1c(O)ccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.503059,2.661471
37,COc1cc2c:C(c3c(S)ccc4nsnc34):[nH]c2cc1OC,c1c(S)ccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.493342,2.462527
38,COc1cc2c:C(c3c(Br)ccc4nsnc34):[nH]c2cc1OC,c1c(Br)ccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.022222,2.2306730000000003
39,COc1cc2c:C(c3cccc4nsnc34):[nH]c2cc1OC,c1cccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.835902,2.528512
40,COc1cc2c:C(c3c(C)ccc4nsnc34):[nH]c2cc1OC,c1c(C)ccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.707248,2.6479350000000004
41,COc1cc2c:C(c3c(C#N)ccc4nsnc34):[nH]c2cc1OC,c1c(C#N)ccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.451619,1.8161780000000003
42,COc1cc2c:C(c3cc(OC(C)=O)cc4nsnc34):[nH]c2cc1OC,c1cc(OC(C)=O)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.848457,2.472815
43,COc1cc2c:C(c3cc(NC(C)=O)cc4nsnc34):[nH]c2cc1OC,c1cc(NC(C)=O)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.417319,2.5803000000000003
44,CNc1cc(C2:cc3cc(OC)c(OC)cc3[nH]:2)c2nsnc2c1,c1cc2cc(OC)c(OC)cc2[nH]1,c1cc(NC)cc2nsnc12,2.969412,5.780695
45,COc1cc(C2:cc3cc(OC)c(OC)cc3[nH]:2)c2nsnc2c1,c1cc2cc(OC)c(OC)cc2[nH]1,c1cc(OC)cc2nsnc12,2.754877,6.428345
46,COc1cc2c:C(c3cc(C=O)cc4nsnc34):[nH]c2cc1OC,c1cc(C=O)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.298686,1.948799
47,COc1cc2c:C(c3cc(S(=O)(=O)O)cc4nsnc34):[nH]c2cc1OC,c1cc(S(=O)(=O)O)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.542495,1.862496
48,COc1cc2c:C(c3cc(C(F)(F)F)cc4nsnc34):[nH]c2cc1OC,c1cc(C(F)(F)F)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.314575,2.117716
49,COc1cc2c:C(c3cc(F)cc4nsnc34):[nH]c2cc1OC,c1cc(F)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.959871,2.3800950000000003
50,COc1cc2c:C(c3cc(O)cc4nsnc34):[nH]c2cc1OC,c1cc(O)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.503059,2.661471
51,COc1cc2c:C(c3cc(S)cc4nsnc34):[nH]c2cc1OC,c1cc(S)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.493342,2.462527
52,COc1cc2c:C(c3cc(Br)cc4nsnc34):[nH]c2cc1OC,c1cc(Br)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.022222,2.2306730000000003
53,COc1cc2c:C(c3cc(C)cc4nsnc34):[nH]c2cc1OC,c1cc(C)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.707248,2.6479350000000004
54,COc1cc2c:C(c3cc(C#N)cc4nsnc34):[nH]c2cc1OC,c1cc(C#N)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.451619,1.8161780000000003
55,COc1cc2c:C(c3c(OC(C)=O)ncc4nsnc34):[nH]c2cc1OC,c1c(OC(C)=O)ncc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.213198,1.968903
56,COc1cc2c:C(c3c(NC(C)=O)ncc4nsnc34):[nH]c2cc1OC,c1c(NC(C)=O)ncc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.589728,2.1620310000000003
57,CNc1ncc2nsnc2c1C1:cc2cc(OC)c(OC)cc2[nH]:1,c1cc2cc(OC)c(OC)cc2[nH]1,c1c(NC)ncc2nsnc12,2.5267190000000004,5.858383
58,COc1cc2c:C(c3c(OC)ncc4nsnc34):[nH]c2cc1OC,c1c(OC)ncc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.461157,2.1729930000000004
59,COc1cc2c:C(c3c(C=O)ncc4nsnc34):[nH]c2cc1OC,c1c(C=O)ncc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.501987,1.568826
60,COc1cc2c:C(c3c(S(=O)(=O)O)ncc4nsnc34):[nH]c2cc1OC,c1c(S(=O)(=O)O)ncc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,8.083247,1.0991540000000004
61,COc1cc2c:C(c3c(C(F)(F)F)ncc4nsnc34):[nH]c2cc1OC,c1c(C(F)(F)F)ncc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.732317,1.6278620000000004
62,COc1cc2c:C(c3c(F)ncc4nsnc34):[nH]c2cc1OC,c1c(F)ncc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.291194,1.8439050000000003
63,COc1cc2c:C(c3c(O)ncc4nsnc34):[nH]c2cc1OC,c1c(O)ncc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.668048,2.1066670000000003
64,COc1cc2c:C(c3c(S)ncc4nsnc34):[nH]c2cc1OC,c1c(S)ncc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.591602,1.981938
65,COc1cc2c:C(c3c(Br)ncc4nsnc34):[nH]c2cc1OC,c1c(Br)ncc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.258799,1.7245750000000002
66,COc1cc2c:C(c3cncc4nsnc34):[nH]c2cc1OC,c1cncc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.313665,2.051705
67,COc1cc2c:C(c3c(C)ncc4nsnc34):[nH]c2cc1OC,c1c(C)ncc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.022388,2.1462570000000003
68,COc1cc2c:C(c3c(C#N)ncc4nsnc34):[nH]c2cc1OC,c1c(C#N)ncc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.818127,1.4177340000000005
69,COc1cc2c:C(c3nc(OC(C)=O)cc4nsnc34):[nH]c2cc1OC,c1nc(OC(C)=O)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.213198,1.968903
70,COc1cc2c:C(c3nc(NC(C)=O)cc4nsnc34):[nH]c2cc1OC,c1nc(NC(C)=O)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.589728,2.1620310000000003
71,CNc1cc2nsnc2c(C2:cc3cc(OC)c(OC)cc3[nH]:2)n1,c1nc(NC)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,5.858383,2.5267190000000004
72,COc1cc2nsnc2c(C2:cc3cc(OC)c(OC)cc3[nH]:2)n1,c1nc(OC)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.461157,2.1729930000000004
73,COc1cc2c:C(c3nc(C=O)cc4nsnc34):[nH]c2cc1OC,c1nc(C=O)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.501987,1.568826
74,COc1cc2c:C(c3nc(S(=O)(=O)O)cc4nsnc34):[nH]c2cc1OC,c1nc(S(=O)(=O)O)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,8.083247,1.0991540000000004
75,COc1cc2c:C(c3nc(C(F)(F)F)cc4nsnc34):[nH]c2cc1OC,c1nc(C(F)(F)F)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.732317,1.6278620000000004
76,COc1cc2c:C(c3nc(F)cc4nsnc34):[nH]c2cc1OC,c1nc(F)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.291194,1.8439050000000003
77,COc1cc2c:C(c3nc(O)cc4nsnc34):[nH]c2cc1OC,c1nc(O)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.668048,2.1066670000000003
78,COc1cc2c:C(c3nc(S)cc4nsnc34):[nH]c2cc1OC,c1nc(S)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.591602,1.981938
79,COc1cc2c:C(c3nc(Br)cc4nsnc34):[nH]c2cc1OC,c1nc(Br)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.258799,1.7245750000000002
80,COc1cc2c:C(c3nccc4nsnc34):[nH]c2cc1OC,c1nccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.313665,2.051705
81,COc1cc2c:C(c3nc(C)cc4nsnc34):[nH]c2cc1OC,c1nc(C)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.022388,2.1462570000000003
82,COc1cc2c:C(c3nc(C#N)cc4nsnc34):[nH]c2cc1OC,c1nc(C#N)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.818127,1.4177340000000005
83,COc1cc2c:C(c3nncc4nsnc34):[nH]c2cc1OC,c1nncc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.217267,1.5941850000000004
84,COc1cc2c:C(c3scc4ncc(OC(C)=O)nc34):[nH]c2cc1OC,c1scc2ncc(OC(C)=O)nc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.519511,2.6063370000000003
85,COc1cc2c:C(c3scc4ncc(NC(C)=O)nc34):[nH]c2cc1OC,c1scc2ncc(NC(C)=O)nc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.236024,2.7294880000000004
86,CNc1cnc2csc(C3:cc4cc(OC)c(OC)cc4[nH]:3)c2n1,c1cc2cc(OC)c(OC)cc2[nH]1,c1scc2ncc(NC)nc12,3.094391,5.66595
87,COc1cnc2csc(C3:cc4cc(OC)c(OC)cc4[nH]:3)c2n1,c1cc2cc(OC)c(OC)cc2[nH]1,c1scc2ncc(OC)nc12,2.93435,6.225471
88,COc1cc2c:C(c3scc4ncc(C=O)nc34):[nH]c2cc1OC,c1scc2ncc(C=O)nc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.840931,1.9619020000000005
89,COc1cc2c:C(c3scc4ncc(S(=O)(=O)O)nc34):[nH]c2cc1OC,c1scc2ncc(S(=O)(=O)O)nc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.198586,1.711554
90,COc1cc2c:C(c3scc4ncc(C(F)(F)F)nc34):[nH]c2cc1OC,c1scc2ncc(C(F)(F)F)nc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.84615,2.191943
91,COc1cc2c:C(c3scc4ncc(F)nc34):[nH]c2cc1OC,c1scc2ncc(F)nc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.645478,2.478583
92,COc1cc2c:C(c3scc4ncc(O)nc34):[nH]c2cc1OC,c1scc2ncc(O)nc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.314223,2.7977930000000004
93,COc1cc2c:C(c3scc4ncc(S)nc34):[nH]c2cc1OC,c1scc2ncc(S)nc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.382178,2.5942730000000003
94,COc1cc2c:C(c3scc4ncc(Br)nc34):[nH]c2cc1OC,c1scc2ncc(Br)nc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.760472,2.3115810000000003
95,COc1cc2c:C(c3scc4nccnc34):[nH]c2cc1OC,c1scc2nccnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.464528,2.609154
96,COc1cc2c:C(c3scc4ncc(C)nc34):[nH]c2cc1OC,c1scc2ncc(C)nc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.338508,2.794071
97,COc1cc2c:C(c3scc4ncc(C#N)nc34):[nH]c2cc1OC,c1scc2ncc(C#N)nc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.011598,1.827461
98,COc1cc2c:C(c3scc4nc(OC(C)=O)cnc34):[nH]c2cc1OC,c1scc2nc(OC(C)=O)cnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.519511,2.6063370000000003
99,COc1cc2c:C(c3scc4nc(NC(C)=O)cnc34):[nH]c2cc1OC,c1scc2nc(NC(C)=O)cnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.236024,2.7294880000000004
100,CNc1cnc2c(C3:cc4cc(OC)c(OC)cc4[nH]:3)scc2n1,c1cc2cc(OC)c(OC)cc2[nH]1,c1scc2nc(NC)cnc12,3.094391,5.66595
101,COc1cnc2c(C3:cc4cc(OC)c(OC)cc4[nH]:3)scc2n1,c1cc2cc(OC)c(OC)cc2[nH]1,c1scc2nc(OC)cnc12,2.93435,6.225471
102,COc1cc2c:C(c3scc4nc(C=O)cnc34):[nH]c2cc1OC,c1scc2nc(C=O)cnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.840931,1.9619020000000005
103,COc1cc2c:C(c3scc4nc(S(=O)(=O)O)cnc34):[nH]c2cc1OC,c1scc2nc(S(=O)(=O)O)cnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.198586,1.711554
104,COc1cc2c:C(c3scc4nc(C(F)(F)F)cnc34):[nH]c2cc1OC,c1scc2nc(C(F)(F)F)cnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.84615,2.191943
105,COc1cc2c:C(c3scc4nc(F)cnc34):[nH]c2cc1OC,c1scc2nc(F)cnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.645478,2.478583
106,COc1cc2c:C(c3scc4nc(O)cnc34):[nH]c2cc1OC,c1scc2nc(O)cnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.314223,2.7977930000000004
107,COc1cc2c:C(c3scc4nc(S)cnc34):[nH]c2cc1OC,c1scc2nc(S)cnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.382178,2.5942730000000003
108,COc1cc2c:C(c3scc4nc(Br)cnc34):[nH]c2cc1OC,c1scc2nc(Br)cnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.760472,2.3115810000000003
109,COc1cc2c:C(c3scc4nc(C)cnc34):[nH]c2cc1OC,c1scc2nc(C)cnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.338508,2.794071
110,COc1cc2c:C(c3scc4nc(C#N)cnc34):[nH]c2cc1OC,c1scc2nc(C#N)cnc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.011598,1.827461
111,COc1cc2c:C(c3cc(OC(C)=O)co3):[nH]c2cc1OC,c1cc(OC(C)=O)co1,c1cc2cc(OC)c(OC)cc2[nH]1,6.297386,4.7272870000000005
112,COc1cc2c:C(c3cc(NC(C)=O)co3):[nH]c2cc1OC,c1cc(NC(C)=O)co1,c1cc2cc(OC)c(OC)cc2[nH]1,5.965881,4.994603000000001
113,CNc1coc(C2:cc3cc(OC)c(OC)cc3[nH]:2)c1,c1cc2cc(OC)c(OC)cc2[nH]1,c1cc(NC)co1,5.711667,5.404015
114,COc1coc(C2:cc3cc(OC)c(OC)cc3[nH]:2)c1,c1cc2cc(OC)c(OC)cc2[nH]1,c1cc(OC)co1,5.4351650000000005,5.768873
115,COc1cc2c:C(c3cc(C=O)co3):[nH]c2cc1OC,c1cc(C=O)co1,c1cc2cc(OC)c(OC)cc2[nH]1,7.046518,3.507788
116,COc1cc2c:C(c3cc(S(=O)(=O)O)co3):[nH]c2cc1OC,c1cc(S(=O)(=O)O)co1,c1cc2cc(OC)c(OC)cc2[nH]1,7.400585,4.124505
117,COc1cc2c:C(c3cc(C(F)(F)F)co3):[nH]c2cc1OC,c1cc(C(F)(F)F)co1,c1cc2cc(OC)c(OC)cc2[nH]1,7.038106,4.699461
118,COc1cc2c:C(c3cc(F)co3):[nH]c2cc1OC,c1cc(F)co1,c1cc2cc(OC)c(OC)cc2[nH]1,6.507736,5.127275
119,COc1cc2c:C(c3cc(O)co3):[nH]c2cc1OC,c1cc(O)co1,c1cc2cc(OC)c(OC)cc2[nH]1,5.893669,5.433404
120,COc1cc2c:C(c3cc(S)co3):[nH]c2cc1OC,c1cc(S)co1,c1cc2cc(OC)c(OC)cc2[nH]1,6.056591,5.197513
121,COc1cc2c:C(c3cc(Br)co3):[nH]c2cc1OC,c1cc(Br)co1,c1cc2cc(OC)c(OC)cc2[nH]1,6.622081,4.873831
122,COc1cc2c:C(c3ccco3):[nH]c2cc1OC,c1ccco1,c1cc2cc(OC)c(OC)cc2[nH]1,6.333414,5.409371
123,COc1cc2c:C(c3cc(C)co3):[nH]c2cc1OC,c1cc(C)co1,c1cc2cc(OC)c(OC)cc2[nH]1,6.171719,5.549303
124,COc1cc2c:C(c3cc(C#N)co3):[nH]c2cc1OC,c1cc(C#N)co1,c1cc2cc(OC)c(OC)cc2[nH]1,7.222031,3.955133
125,COc1cc2c:C(c3occc3OC(C)=O):[nH]c2cc1OC,c1occc1OC(C)=O,c1cc2cc(OC)c(OC)cc2[nH]1,6.297386,4.7272870000000005
126,COc1cc2c:C(c3occc3NC(C)=O):[nH]c2cc1OC,c1occc1NC(C)=O,c1cc2cc(OC)c(OC)cc2[nH]1,5.965881,4.994603000000001
127,CNc1ccoc1C1:cc2cc(OC)c(OC)cc2[nH]:1,c1cc2cc(OC)c(OC)cc2[nH]1,c1occc1NC,5.711667,5.404015
128,COc1cc2c:C(c3occc3OC):[nH]c2cc1OC,c1occc1OC,c1cc2cc(OC)c(OC)cc2[nH]1,5.768873,5.4351650000000005
129,COc1cc2c:C(c3occc3C=O):[nH]c2cc1OC,c1occc1C=O,c1cc2cc(OC)c(OC)cc2[nH]1,7.046518,3.507788
130,COc1cc2c:C(c3occc3S(=O)(=O)O):[nH]c2cc1OC,c1occc1S(=O)(=O)O,c1cc2cc(OC)c(OC)cc2[nH]1,7.400585,4.124505
131,COc1cc2c:C(c3occc3C(F)(F)F):[nH]c2cc1OC,c1occc1C(F)(F)F,c1cc2cc(OC)c(OC)cc2[nH]1,7.038106,4.699461
132,COc1cc2c:C(c3occc3F):[nH]c2cc1OC,c1occc1F,c1cc2cc(OC)c(OC)cc2[nH]1,6.507736,5.127275
133,COc1cc2c:C(c3occc3O):[nH]c2cc1OC,c1occc1O,c1cc2cc(OC)c(OC)cc2[nH]1,5.893669,5.433404
134,COc1cc2c:C(c3occc3S):[nH]c2cc1OC,c1occc1S,c1cc2cc(OC)c(OC)cc2[nH]1,6.056591,5.197513
135,COc1cc2c:C(c3occc3Br):[nH]c2cc1OC,c1occc1Br,c1cc2cc(OC)c(OC)cc2[nH]1,6.622081,4.873831
136,COc1cc2c:C(c3occc3C):[nH]c2cc1OC,c1occc1C,c1cc2cc(OC)c(OC)cc2[nH]1,6.171719,5.549303
137,COc1cc2c:C(c3occc3C#N):[nH]c2cc1OC,c1occc1C#N,c1cc2cc(OC)c(OC)cc2[nH]1,7.222031,3.955133
138,COc1cc2c:C(c3c(OC(C)=O)ccc4nonc34):[nH]c2cc1OC,c1c(OC(C)=O)ccc2nonc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.080039,2.3920290000000004
139,COc1cc2c:C(c3c(NC(C)=O)ccc4nonc34):[nH]c2cc1OC,c1c(NC(C)=O)ccc2nonc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.669972,2.50889
140,CNc1ccc2nonc2c1C1:cc2cc(OC)c(OC)cc2[nH]:1,c1cc2cc(OC)c(OC)cc2[nH]1,c1c(NC)ccc2nonc12,2.934079,6.036221
141,COc1cc2c:C(c3c(OC)ccc4nonc34):[nH]c2cc1OC,c1c(OC)ccc2nonc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.699919,2.703221
142,COc1cc2c:C(c3c(C=O)ccc4nonc34):[nH]c2cc1OC,c1c(C=O)ccc2nonc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.548524,1.7835110000000003
143,COc1cc2c:C(c3c(S(=O)(=O)O)ccc4nonc34):[nH]c2cc1OC,c1c(S(=O)(=O)O)ccc2nonc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.795193,1.7169220000000005
144,COc1cc2c:C(c3c(C(F)(F)F)ccc4nonc34):[nH]c2cc1OC,c1c(C(F)(F)F)ccc2nonc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.569803,1.9895780000000003
145,COc1cc2c:C(c3c(F)ccc4nonc34):[nH]c2cc1OC,c1c(F)ccc2nonc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.22806,2.270766
146,COc1cc2c:C(c3c(O)ccc4nonc34):[nH]c2cc1OC,c1c(O)ccc2nonc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.784396,2.5911000000000004
147,COc1cc2c:C(c3c(S)ccc4nonc34):[nH]c2cc1OC,c1c(S)ccc2nonc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.770973,2.375105
148,COc1cc2c:C(c3c(Br)ccc4nonc34):[nH]c2cc1OC,c1c(Br)ccc2nonc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.280102,2.1191950000000004
149,COc1cc2c:C(c3cccc4nonc34):[nH]c2cc1OC,c1cccc2nonc12,c1cc2cc(OC)c(OC)cc2[nH]1,7.084875,2.429641
150,COc1cc2c:C(c3c(C)ccc4nonc34):[nH]c2cc1OC,c1c(C)ccc2nonc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.94394,2.5756590000000004
